ImageNumber,ObjectNumber,Metadata_ChannelNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_X,Metadata_X,Metadata_Y,Metadata_Y,Metadata_image,Metadata_image,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cells
18,1,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,209.17857142857142,5.5625,0,1,8
18,2,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,326.42148760330576,3.1404958677685952,0,2,13
18,3,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,424.8333333333333,2.75,0,3,16
18,4,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,168.66216216216216,9.167567567567568,0,4,26
18,5,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,187.8758389261745,8.89261744966443,0,5,27
18,6,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,369.97938144329896,3.443298969072165,0,6,31
18,7,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,430.1363636363636,10.106060606060606,0,7,39
18,8,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,391.3708609271523,15.582781456953642,0,8,42
18,9,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,379.4811320754717,16.712264150943398,0,9,55
18,10,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,202.88028169014083,17.0,0,10,59
18,11,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,469.14141414141415,18.626262626262626,0,11,61
18,12,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,515.5901639344262,21.82295081967213,0,12,62
18,13,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,272.1515151515151,21.32121212121212,0,13,67
18,14,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,42.277056277056275,22.73160173160173,0,14,70
18,15,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,229.23788546255506,25.070484581497798,0,15,74
18,16,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,309.2538226299694,27.495412844036696,0,16,78
18,17,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,283.39473684210526,27.585526315789473,0,17,79
18,18,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,36.29611650485437,35.422330097087375,0,18,96
18,19,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,225.6863354037267,42.46583850931677,0,19,109
18,20,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,290.0851735015773,41.110410094637224,0,20,110
18,21,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,207.60791366906474,46.47482014388489,0,21,119
18,22,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,443.53055555555557,45.56944444444444,0,22,124
18,23,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,582.0803212851406,47.674698795180724,0,23,126
18,24,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,304.3818181818182,49.903030303030306,0,24,141
18,25,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,217.93103448275863,49.55172413793103,0,25,145
18,26,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,201.140350877193,56.1578947368421,0,26,157
18,27,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,198.48471615720524,66.5764192139738,0,27,173
18,28,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,265.1750599520384,66.05275779376498,0,28,177
18,29,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,567.0508474576271,69.52966101694915,0,29,188
18,30,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,140.384,70.84,0,30,195
18,31,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,227.3,70.93333333333334,0,31,204
18,32,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,480.792817679558,78.71546961325967,0,32,206
18,33,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,443.56439393939394,76.32575757575758,0,33,209
18,34,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,542.9722222222222,78.59920634920636,0,34,211
18,35,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,79.77575757575758,79.43030303030304,0,35,213
18,36,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,385.5,78.25490196078431,0,36,216
18,37,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,67.34857142857143,83.57714285714286,0,37,222
18,38,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,463.0376569037657,85.18828451882845,0,38,231
18,39,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,2.287878787878788,84.33333333333333,0,39,232
18,40,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,51.25,102.18852459016394,0,40,271
18,41,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,88.71608832807571,104.02208201892745,0,41,279
18,42,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,399.93684210526317,108.64561403508772,0,42,282
18,43,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,547.7,103.03333333333333,0,43,284
18,44,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,257.9603524229075,108.57709251101322,0,44,286
18,45,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,272.8996282527881,112.23420074349443,0,45,292
18,46,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,319.7420091324201,116.57762557077625,0,46,293
18,47,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,454.7073170731707,110.99512195121952,0,47,294
18,48,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,434.41052631578947,106.71578947368421,0,48,304
18,49,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,41.8994708994709,113.88888888888889,0,49,305
18,50,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,104.38181818181818,111.41818181818182,0,50,311
18,51,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,440.8562874251497,117.16766467065868,0,51,312
18,52,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,52.23131672597865,124.73309608540926,0,52,321
18,53,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,334.14521452145215,128.81848184818483,0,53,331
18,54,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,420.69736842105266,132.44736842105263,0,54,346
18,55,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,115.22988505747126,132.8697318007663,0,55,348
18,56,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,316.60869565217394,134.21304347826086,0,56,350
18,57,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,44.81060606060606,133.52272727272728,0,57,353
18,58,,,0,0,X3,X3,Y2,Y2,WT1D,WT1D,247.60714285714286,133.91666666666666,0,58,358
