ImageNumber,ObjectNumber,Metadata_ChannelNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_X,Metadata_X,Metadata_Y,Metadata_Y,Metadata_image,Metadata_image,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cells
19,1,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,244.04,9.873846153846154,0,1,7
19,2,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,406.14814814814815,2.1604938271604937,0,2,13
19,3,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,626.7820512820513,6.897435897435898,0,3,25
19,4,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,227.8020134228188,9.298657718120806,0,4,29
19,5,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,356.64145658263305,10.403361344537815,0,5,36
19,6,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,413.2114285714286,9.68,0,6,37
19,7,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,588.0765306122449,11.545918367346939,0,7,44
19,8,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,293.64179104477614,20.34328358208955,0,8,51
19,9,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,167.7071129707113,35.46861924686193,0,9,86
19,10,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,314.5287958115183,40.225130890052355,0,10,93
19,11,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,444.41696113074204,60.71378091872791,0,11,150
19,12,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,118.66489361702128,69.08510638297872,0,12,165
19,13,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,44.01149425287356,66.6896551724138,0,13,168
19,14,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,204.8031914893617,66.05851063829788,0,14,170
19,15,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,117.29081632653062,82.91326530612245,0,15,199
19,16,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,49.73364485981308,94.55607476635514,0,16,221
19,17,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,142.4558303886926,96.19787985865725,0,17,230
19,18,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,225.72972972972974,104.6023166023166,0,18,247
19,19,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,66.88601036269431,113.639896373057,0,19,255
19,20,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,88.23831775700934,118.6214953271028,0,20,285
19,21,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,58.9954128440367,122.69266055045871,0,21,290
19,22,,,0,0,X3,X3,Y3,Y3,WT1D,WT1D,387.48967551622417,132.75811209439527,0,22,317
